project_path,stars,language,waste_score,job_count,total_minutes,energy_kwh,operational_carbon_gco2e,embodied_carbon_gco2e,sci_before_gco2e,sci_after_gco2e,reduction_percent
gitlab-org/gitlab-pages,139,None,5,1,9.0,0.001155,462.0,5.14,467.14,373.71,20.0
inkscape/inkscape,3872,None,1,20,95.0,0.012192,4876.67,54.23,4930.9,4437.81,10.0
fdroid/fdroidclient,2564,None,6,14,145.0,0.018608,7443.33,82.77,7526.1,6020.88,20.0
fdroid/fdroidserver,434,None,4,25,226.0,0.029003,11601.33,129.01,11730.34,11143.82,5.0
tortoisegit/tortoisegit,662,None,7,3,12.0,0.00154,616.0,6.85,622.85,342.57,45.0
postmarketOS/pmaports,277,None,4,15,19.0,0.002438,975.33,10.85,986.18,690.33,30.0
baserow/baserow,2270,None,4,47,90.5,0.011614,4645.67,51.66,4697.33,3288.13,30.0
bounca/bounca,24,None,8,6,12.0,0.00154,616.0,6.85,622.85,342.57,45.0
thelabnyc/django-logpipe,16,None,5,2,10.0,0.001283,513.33,5.71,519.04,415.23,20.0
potato-oss/google-cloud/django-gcloud-connectors,9,None,5,21,89.0,0.011422,4568.67,50.8,4619.47,2540.71,45.0
jedie/django-find-my-device,7,None,5,1,1.0,0.000128,51.33,0.57,51.9,41.52,20.0
troopmanager/django-troop,4,None,5,2,14.0,0.001797,718.67,7.99,726.66,581.33,20.0
artoale/joe,2,None,4,1,7.0,0.000898,359.33,4.0,363.33,236.16,35.0
byuhbll/apps/django,2,None,8,2,6.0,0.00077,308.0,3.43,311.43,171.28,45.0
murchik/django-smelly-tokens,2,None,5,1,10.0,0.001283,513.33,5.71,519.04,285.47,45.0
serial-lab/quartet_epcis,2,None,8,4,30.5,0.003914,1565.67,17.41,1583.08,870.69,45.0
seanwasere/Seans-Angular6-Python-Flask-Boilerplate,26,None,8,2,9.0,0.001155,462.0,5.14,467.14,256.93,45.0
keiran.steele/basic-microservice-for-learning,9,None,8,7,39.0,0.005005,2002.0,22.26,2024.26,1315.77,35.0
sermos/sermos-demo-client,2,None,7,6,42.0,0.00539,2156.0,23.97,2179.97,1743.98,20.0
dewet/ensmallen,2,None,7,1,6.0,0.00077,308.0,3.43,311.43,171.28,45.0
ryanhcicd/python-demoapp,1,None,6,3,23.0,0.002952,1180.67,13.13,1193.8,656.59,45.0
mihai.doncenco/devops-showcase,1,None,8,2,10.0,0.001283,513.33,5.71,519.04,285.47,45.0
truth-in-tech/truth-in-tech,3,None,7,4,23.5,0.003016,1206.33,13.41,1219.75,670.86,45.0
aegiacometti/devops_cloud_challenge,2,None,7,11,41.0,0.005262,2104.67,23.4,2128.07,1702.46,20.0
cluttered-code/sso-python-fastapi,1,None,8,2,19.0,0.002438,975.33,10.85,986.18,542.4,45.0
lunni/examples/python,1,None,7,1,10.0,0.001283,513.33,5.71,519.04,285.47,45.0
dcharbon/scrudful,1,None,7,1,3.0,0.000385,154.0,1.71,155.71,85.64,45.0
openteams/scrudful,1,None,7,1,3.0,0.000385,154.0,1.71,155.71,85.64,45.0
