project_id,project_path,stars,language,ci_yaml_lines,job_count,stage_count,has_cache,has_interruptible,has_timeout,has_retry,has_shallow_clone,has_needs,has_docker_in_docker,uses_alpine_images,waste_score,waste_patterns,avg_pipeline_duration_s
278964,gitlab-org/gitlab,5927,None,346,0,18,False,True,True,False,True,False,True,False,4,NO_CACHE|NO_RETRY|DOCKER_IN_DOCKER|NO_ALPINE_IMAGES,
250833,gitlab-org/gitlab-runner,2550,None,47,0,11,False,False,False,False,False,False,False,False,5,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE,
734943,gitlab-org/gitlab-pages,139,None,51,1,2,True,False,False,False,False,True,False,False,5,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
34675721,gitlab-org/cli,925,None,561,0,0,False,False,False,False,False,False,False,False,0,,
3472737,inkscape/inkscape,3872,None,612,20,0,True,True,True,True,True,True,False,False,1,NO_ALPINE_IMAGES,
36189,fdroid/fdroidclient,2564,None,403,14,3,True,False,False,False,False,False,False,False,6,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_DAG_NEEDS|NO_ALPINE_IMAGES,
36527,fdroid/fdroidserver,434,None,884,25,3,True,False,False,False,True,True,True,True,4,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|DOCKER_IN_DOCKER,
384627,tortoisegit/tortoisegit,662,None,70,3,0,False,False,False,False,False,False,False,False,7,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
7898047,wireshark/wireshark,1531,None,1385,0,0,False,False,False,False,False,False,False,False,0,,
8065375,postmarketOS/pmaports,277,None,194,15,3,False,False,True,False,True,False,False,True,4,NO_CACHE|NO_INTERRUPTIBLE|NO_RETRY|NO_DAG_NEEDS,
10174980,veloren/veloren,2346,None,46,0,3,False,True,False,True,True,False,False,False,2,NO_CACHE|NO_TIMEOUT,
10858056,baserow/baserow,2270,None,960,47,5,False,True,False,False,False,True,False,True,4,NO_CACHE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE,
20699,gitlab-org/omnibus-gitlab,690,None,231,0,0,False,False,False,False,False,False,False,False,0,,
2009901,gitlab-org/gitaly,434,None,780,0,0,False,False,False,False,False,False,False,False,0,,
20042857,bounca/bounca,24,None,104,6,5,False,False,False,False,False,False,False,False,8,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_DAG_NEEDS|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
1367861,thelabnyc/django-logpipe,16,None,78,2,2,True,False,False,False,False,True,False,False,5,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
16194255,potato-oss/google-cloud/django-gcloud-connectors,9,None,315,21,4,False,False,True,False,False,True,False,False,5,NO_CACHE|NO_INTERRUPTIBLE|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
37589747,jedie/django-find-my-device,7,None,30,1,0,True,False,False,False,False,False,False,False,5,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
52305289,troopmanager/django-troop,4,None,42,2,0,True,False,False,False,False,False,False,False,5,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
45460308,artoale/joe,2,None,71,1,2,False,True,False,False,True,True,False,False,4,NO_CACHE|NO_TIMEOUT|NO_RETRY|NO_ALPINE_IMAGES,
11324790,byuhbll/apps/django,2,None,38,2,2,False,False,False,False,False,False,True,False,8,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|DOCKER_IN_DOCKER|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
6868751,murchik/django-smelly-tokens,2,None,8,1,0,False,False,False,False,False,False,False,False,5,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE,
5183325,serial-lab/quartet_epcis,2,None,94,4,3,False,False,False,False,False,False,False,False,8,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_DAG_NEEDS|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
5871108,osp-group/flask-nginx-rtmp-manager,483,None,34,0,2,False,False,False,False,False,False,False,False,6,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
7760711,seanwasere/Seans-Angular6-Python-Flask-Boilerplate,26,None,31,2,2,False,False,False,False,False,False,True,False,8,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|DOCKER_IN_DOCKER|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
10227276,keiran.steele/basic-microservice-for-learning,9,None,133,7,5,False,False,False,False,False,False,True,True,8,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_DAG_NEEDS|DOCKER_IN_DOCKER|LEGACY_ONLY_EXCEPT,
45540902,8bs/infinity-broadcast-system,4,None,34,0,2,False,False,False,False,False,False,False,False,6,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
22548372,sermos/sermos-demo-client,2,None,114,6,4,True,False,False,False,False,False,False,False,7,NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_DAG_NEEDS|LEGACY_ONLY_EXCEPT|NO_ALPINE_IMAGES,
3436301,dewet/ensmallen,2,None,15,1,0,False,False,False,False,False,False,True,False,7,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|DOCKER_IN_DOCKER|NO_ALPINE_IMAGES,
76792843,ryanhcicd/python-demoapp,1,None,46,3,3,False,False,False,False,False,False,False,False,6,NO_CACHE|NO_INTERRUPTIBLE|NO_TIMEOUT|NO_RETRY|NO_SHALLOW_CLONE|NO_ALPINE_IMAGES,
